match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2304329360,2019314823,False,1461013015,2726,0,2039,0,63,174,0,0,45,37
2304342708,2019314754,False,1461014132,1374,0,1983,0,63,45,2,1,12,25
2304338804,2019315056,True,1461013814,1928,2046,4,63,3,61,0,0,,
2304329829,2019317935,True,1461013045,2975,1956,4,63,3,212,0,0,34,23
2304319420,2019315908,True,1461012436,3208,1796,4,63,3,17,0,0,,
2304327510,2019314584,False,1461012901,2638,0,1956,0,63,0,0,0,,
2304187038,2019206363,False,1461006013,2953,4,1844,3,63,8,0,0,47,58
2304334127,2019314356,True,1461013297,1956,2038,4,63,3,306,0,0,,
2304316650,2019318080,True,1461012273,3333,1568,260,15,51,103,0,0,,
2304060962,2019105470,False,1461001179,3082,0,1796,0,63,12,1,0,,
2304325050,2019315131,True,1461012760,2848,1958,0,63,0,115,0,0,,
2304329064,2019318264,False,1461012994,3065,0,1972,48,63,139,0,0,57,61
2304316984,2019315192,False,1461012283,3363,0,1796,0,63,77,0,0,,
2304339959,2019316112,False,1461013914,1723,0,2038,0,63,130,0,0,,
2304346233,2019315835,False,1461014385,1320,384,2039,48,63,113,0,0,,
2304327070,2019316833,True,1461012865,2914,1796,4,55,3,6,0,0,,
2304334243,2019315326,False,1461013301,2325,0,2046,0,63,7,0,0,,
2304327927,2019309612,True,1461012918,2016,2038,0,63,0,4,0,0,,
2304336787,2019315419,False,1461013470,2154,0,1956,0,63,505,0,0,,
2304339367,2019316190,True,1461013861,1984,2047,256,63,48,116,0,0,43,24
2304331150,2019316722,True,1461013102,2489,1982,0,63,0,0,0,0,,
2304320767,2019317044,True,1461012507,3428,1972,256,63,48,182,0,0,,
2304316163,2019316118,False,1461012241,3570,0,1958,3,63,201,0,0,,
2304297205,2019315927,False,1461011198,4579,0,1958,0,63,16,0,0,,
2304333949,2019315474,True,1461013280,2346,1974,0,63,3,0,0,0,,
2304338806,2019315611,True,1461013816,1876,2047,4,63,3,1,0,0,,
2304333077,2019315581,True,1461013224,1753,2047,0,63,0,216,0,0,,
2304335723,2019315546,True,1461013392,2260,2038,0,63,0,111,0,0,,
2304334472,2019315540,False,1461013297,2302,0,1974,0,63,128,0,0,,
2304333284,2019315701,False,1461013244,2385,0,1974,0,63,112,0,0,,
2304338613,2019315798,True,1461013786,2016,1975,0,63,0,3,0,0,,
2304321378,2019315613,True,1461012547,3122,1828,256,63,48,180,0,0,,
2304342502,2019315810,True,1461014119,1496,1972,263,63,51,75,0,0,,
2304121979,2019132765,False,1461003458,2004,6,1974,3,63,133,0,0,,
2304312723,2019316417,True,1461012066,3684,1958,0,63,0,207,0,0,,
2304323313,2019315856,True,1461012655,3034,1830,0,63,16,34,0,0,,
2304325318,2019316036,True,1461012768,2967,548,384,15,48,174,0,0,,
2304311209,2019315789,True,1461011986,3708,1828,0,63,0,208,0,0,71,51
2304338333,2019316098,False,1461013766,1929,0,1972,0,63,43,0,0,,
2304334288,2019316475,True,1461013306,2342,1982,0,63,0,81,0,0,37,23
2304334864,2019316655,True,1461013337,2591,2047,0,63,0,5,0,0,,
2304333098,2019317187,False,1461013235,2540,0,1828,0,63,205,0,0,,
2304332551,2019315995,False,1461013201,2658,0,1536,0,3,261,0,0,,
2304337572,2019316156,True,1461013690,2016,1958,4,63,3,71,0,0,,
2304334471,2019316362,True,1461013315,2475,2047,256,63,48,129,0,0,,
2304322685,2019316085,True,1461012625,3044,1540,0,3,0,106,0,0,,
